Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Mi Carrefour Prepaga,n/a,Martes,15%,Supermercados,Carrefour,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mi Carrefour Crédito,n/a,Martes,15%,Supermercados,Carrefour Market,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mi Carrefour Prepaga,n/a,Martes,15%,Supermercados,Carrefour Market,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mi Carrefour Crédito,n/a,Martes,15%,Supermercados,Carrefour Express,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mi Carrefour Prepaga,n/a,Martes,15%,Supermercados,Carrefour Express,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mastercard,n/a,Jueves,15%,Supermercados,Carrefour Online,Sin tope de reintegro.,"PROMOCIÓN VÁLIDA COMPRANDO LOS JUEVES DE MARZO DE 2025 EN LA REPÚBLICA ARGENTINA, EXCLUSIVAMENTE CON TARJETAS DE CRÉDITO DE LA MARCA MASTERCARD EMITIDAS EN ARGENTINA. VÁLIDO PARA LAS COMPRAS REALIZADAS EN  WWW.CARREFOUR.COM.AR. 15% (QUINCE POR CIENTO) DE AHORRO EN EL ACTO PARA COMPRAS EN UN (1) PAGO.SIN TOPE MÁXIMO. PROMOCIÓN NO VÁLIDA EN HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, MAXI CARREFOUR NI COMPRAS REALIZADAS EN COMERCIANTE.CARREFOUR.COM.AR. NO VÁLIDO PARA COMPRAS EN CUOTAS. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. NO VÁLIDO PARA PRODUCTOS ENTREGADOS NI VENDIDOS POR EL FABRICANTE. NO INCLUYE PRODUCTOS DE BODEGAS CHANDON, LEONCIO ARIZU, TERRAZA DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, BODEGA 33 SUR, CATENA ZAPATA y GRUPO CLOS DE LOS 7, PRODUCTOS DE LA CANASTA DE PRECIOS CUIDADOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, ELECTRODOMÉSTICOS, CELULARES, PRODUCTOS DE CARNICERÍA: CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS NI CONSERVADORAS DE CERVEZA . LA PROMOCIÓN NO APLICA A PAGOS A TRAVÉS DE BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE (POR EJEMPLO, PAYPAL, TODO PAGO, MERCADO PAGO, UALÁ, ETC.) NI TARJETAS DE CRÉDITO CORPORATIVAS Y RECARGABLES. PROMOCIÓN NO VÁLIDA PARA PAGOS CON 2 (DOS) TARJETAS. APLICABLE A TARJETAS MASTERCARD NACIONALES. NO ES ACUMULABLE CON CUPONES DE TICKET MÁS BAJO."
Mercado Pago,n/a,"Viernes, Domingo",10%,Supermercados,Carrefour Maxi,Sin tope de reintegro.,"-BENEFICIO VÁLIDO EXCLUSIVAMENTE DE VIERNES A DOMINGO DURANTE EL MES DE MARZO DE 2025 EN LA REPÚBLICA ARGENTINA PARA PAGOS REALIZADOS A TRAVÉS DEL SERVICIO DE PROCESAMIENTO DE PAGOS DE MERCADO PAGO OPERADO POR MERCADOLIBRE S.R.L. “MERCADO PAGO” A TRAVÉS DEL ESCANEO DEL CÓDIGO QR CON LA APP DE MERCADO PAGO LA “APP”, ELIGIENDO COMO MEDIO DE PAGO DINERO EN CUENTA. EL BENEFICIO CONSISTE EN UN 10% DE DESCUENTO, SIN TOPE, EN TODA TU COMPRA EN TODAS LAS SUCURSALES DE CARREFOUR MAXI ""EL “BENEFICIO”. NO VÁLIDO PARA WWW.COMERCIANTES.CARREFOUR.COM.AR. EL BENEFICIO ESTARÁ A CARGO DE INC S.A. Y SE REALIZARÁ EN LÍNEA DE CAJAS SOBRE EL PRECIO DE CONTADO. MERCADO PAGO NO ES UNA ENTIDAD FINANCIERA. LOS FONDOS EN CUENTAS DE PAGO NO SON DEPÓSITOS GARANTIZADOS. MERCADOLIBRE S.R.L. CUIT 30703088534, CASEROS 3039, PISO 2º, CABA”. PROMOCIÓN NO VÁLIDA PARA COMPRAS EN CUOTAS CON TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR, TARJETAS DE COMPRA Y/U ORDEN DE COMPRA Y/O SIMILARES EMITIDAS POR CARREFOUR ARGENTINA, COMPRAS ABONADAS EN EUROS, DÓLARES NI TICKETS O CON LA APLICACIÓN DE TARJETAS DE PROGRAMAS DE AYUDA SOCIAL. SOLO PARA CONSUMO FAMILIAR. PARA MÁS INFORMACIÓN COMUNÍQUESE GRATUITAMENTE AL TELÉFONO 0-800-444-8484."
Mastercard,Contacless,Lunes,15%,Supermercados,Carrefour Online,$1.000,"PROMOCIÓN VÁLIDA LOS DÍAS LUNES HASTA EL 31/3/2025. PROMOCIÓN VÁLIDA PARA LAS COMPRAS REALIZADAS BAJO LA METODOLOGÍA ""CONTACTLESS"" SIN CONTACTO CON LAS TARJETAS DE CRÉDITO Y PREPAGO MASTERCARD EMITIDAS EN LA REPÚBLICA ARGENTINA. (1) AHORRO DEL 15% CON LAS TARJETAS DE CRÉDITO Y PREPAGO MASTERCARD. TOPE MÁXIMO DE DESCUENTO POR COMPRA DE $1.000. (2) AHORRO DEL 25% CON TARJETA DE DEBITO MASTERCARD O A TRAVES DE PAGOS REALIZADOS CON TARJETAS MASTERCARD MEDIANTE DISPOSITIVOS MOVILES CON TECNOLOGIA NFC. TOPE MÁXIMO DE DESCUENTO POR COMPRA DE $1.500. EL REINTEGRO SE VERÁ REFLEJADO EN LOS CASOS CON PAGOS CON TARJETAS DE DÉBITOS EN LOS MOVIMIENTOS DE LA CUENTA DENTRO DE LOS 30 DÍAS HÁBILES SIGUIENTES DE REALIZADA LA COMPRA. EL REINTEGRO SE VERÁ REFLEJADO EN LOS CASOS CON PAGO CON TARJETAS DE CRÉDITO HASTA 2 DOS RESÚMENES POSTERIORES A LA FECHA DE COMPRA. EL DESCUENTO SE REALIZARÁ POR DEVOLUCIÓN, EN EL RESUMEN DE CUENTA. VÁLIDO EXCLUSIVAMENTE EN LOCALES CARREFOUR EXPRESS. NO PARTICIPAN HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR MAXI NI LAS COMPRAS REALIZADAS EN WWW.CARREFOUR.COM.AR NI TUPEDIDO.CARREFOUR.COM.AR. NO VÁLIDO PARA COMPRAS EN CUOTAS. PROMOCIÓN NO ACUMULA BLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO PERSONAL. (*) LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT. LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, ELECTRODOMÉSTICOS, CELULARES, PRODUCTOS DE CARNICERÍA: CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS NI CONSERVADORAS DE CERVEZA. LA PROMOCIÓN NO APLICA A PAGOS A TRAVÉS DE BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE POR EJEMPLO, PAYPAL, TODO PAGO, MERCADO PAGO, UALÁ, ETC. NI TARJETAS DE CRÉDITO CORPORATIVAS. CONSULTE CON SU BANCO EMISOR LA EVENTUAL APLICACIÓN DE CARGOS POR COMPRAS EN CUOTAS. CONSULTE LOCALES ADHERIDOS EN WWW.MASTERCARD.COM.AR."
Santander,Visa,Miércoles,25%,Supermercados,Carrefour Online,$20.000,"PROMOCIÓN VÁLIDA PROGRAMANDO LA ENTREGA DE TU COMPRA PARA LOS DÍAS MIÉRCOLES DE MARZO DE 2025 PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO SANTANDER. TOPE DE $20.000 POR MES Y POR CUENTA. VÁLIDO WWW.CARREFOUR.COM.AR. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS CON TARJETAS DE CRÉDITO SERÁ ACREDITADO EN EL MISMO RESUMEN EN QUE INGRESE EL CONSUMO O EN EL INMEDIATO POSTERIOR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, BODEGAS 33 SUR, CLOS DE LOS SIETE, CATENA ZAPATA, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS DE LA MARCA CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA."
Banco Patagonia,n/a,Miércoles,15%,Supermercados,Carrefour Online,$12.000,EXCLUSIVO PARA CLIENTES CON PLAN SUELDO
Banco Patagonia,Visa,Miércoles,15%,Supermercados,Carrefour Online,$10.000,"PROMOCIÓN VÁLIDA PROGRAMANDO LA ENTREGA DE TU PEDIDO PARA LOS DÍAS MIÉRCOLES DE MARZO DE 2025 PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO PATAGONIA EN WWW.CARREFOUR.COM.AR. DESCUENTO 15% CON TOPE MÁXIMO DE DESCUENTO $10.000 POR MES Y POR CUENTA. EXCLUSIVO PARA CLIENTES CON CUENTA CLÁSICA Y PLUS. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, BODEGAS 33 SUR, CLOS DE LOS SIETE, CATENA ZAPATA, NI PRODUCTOS DE CONVENIO DE PRECIOS CUIDADOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS DE LA MARCA CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO INCLUYE ELECTRODOMÉSTICOS."
Banco Patagonia,Visa,Miércoles,20%,Supermercados,Carrefour Online,$12.000,"PROMOCIÓN VÁLIDA PROGRAMANDO LA ENTREGA DE TU PEDIDO PARA LOS DÍAS MIÉRCOLES DE MARZO DE 2025 PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO PATAGONIA EN WWW.CARREFOUR.COM.AR. DESCUENTO 20% CON TOPE MÁXIMO DE DESCUENTO $12.000 POR MES Y POR CUENTA. EXCLUSIVO PARA CLIENTES CON PLAN SUELDO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, BODEGAS 33 SUR, CLOS DE LOS SIETE, CATENA ZAPATA, NI PRODUCTOS DE CONVENIO DE PRECIOS CUIDADOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS DE LA MARCA CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO INCLUYE ELECTRODOMÉSTICOS."
Banco Patagonia,Visa,Miércoles,30%,Supermercados,Carrefour Online,$15.000,"PROMOCIÓN VÁLIDA PROGRAMANDO LA ENTREGA DE TU PEDIDO PARA LOS DÍAS MIÉRCOLES DE MARZO DE 2025 PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO PATAGONIA EN WWW.CARREFOUR.COM.AR. DESCUENTO 30% CON TOPE MÁXIMO DE $15.000 POR MES Y POR CUENTA. EXCLUSIVO PARA CLIENTES SINGULAR. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, BODEGAS 33 SUR, CLOS DE LOS SIETE, CATENA ZAPATA, NI PRODUCTOS DE CONVENIO DE PRECIOS CUIDADOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS DE LA MARCA CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO INCLUYE ELECTRODOMÉSTICOS."
Banco San Juan,n/a,Miércoles,30%,Supermercados,Carrefour,$10.000,"VÁLIDO TODOS LOS MIÉRCOLES HASTA EL 31/3/2025 INCLUSIVE, EXCLUSIVO EN HIPERMERCADO CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA; PARA LAS PROVINCIAS DE SANTA FÉ, CÓRDOBA, MENDOZA, SAN JUAN, ENTRE RÍOS, CORRIENTES, SANTA CRUZ, CHUBUT Y LAS CIUDADES DE SAN NICOLÁS Y PERGAMINO. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. BENEFICIO 30% DE REINETEGRO ABONANDO CON TARJETA DE CRÉDITO VISA O MASTERCARD EN UN PAGO EMITIDAS POR EL BANCO SAN JUAN A TRAVES DE MODO. TOPE DE REINTEGRO $10.000 POR CUENTA POR SEMANA. ES NECESARIO QUE PREVIO A REALIZAR EL PAGO EL USUARIO TENGA ASOCIADA A MODO LA CUENTA Y TARJETA DEL BANCO SAN JUAN CON LA QUE REALIZARÁ LA COMPRA. EL REINTEGRO SE REALIZARÁ EN LA CUENTA ASOCIADA DEL CLIENTE DENTRO DE LOS 30 DÍAS DE REALIZADA LA COMPRA. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT. LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR."
Banco San Juan,n/a,Miércoles,30%,Supermercados,Carrefour Market,$10.000,"VÁLIDO TODOS LOS MIÉRCOLES HASTA EL 31/3/2025 INCLUSIVE, EXCLUSIVO EN HIPERMERCADO CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA; PARA LAS PROVINCIAS DE SANTA FÉ, CÓRDOBA, MENDOZA, SAN JUAN, ENTRE RÍOS, CORRIENTES, SANTA CRUZ, CHUBUT Y LAS CIUDADES DE SAN NICOLÁS Y PERGAMINO. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. BENEFICIO 30% DE REINETEGRO ABONANDO CON TARJETA DE CRÉDITO VISA O MASTERCARD EN UN PAGO EMITIDAS POR EL BANCO SAN JUAN A TRAVES DE MODO. TOPE DE REINTEGRO $10.000 POR CUENTA POR SEMANA. ES NECESARIO QUE PREVIO A REALIZAR EL PAGO EL USUARIO TENGA ASOCIADA A MODO LA CUENTA Y TARJETA DEL BANCO SAN JUAN CON LA QUE REALIZARÁ LA COMPRA. EL REINTEGRO SE REALIZARÁ EN LA CUENTA ASOCIADA DEL CLIENTE DENTRO DE LOS 30 DÍAS DE REALIZADA LA COMPRA. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT. LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR."
